,Date,Bike Usage,Day
1069,2022-01-28,2802.0,5.0
1070,2022-01-29,2050.5,6.0
1071,2022-01-30,1760.5,7.0
1072,2022-01-31,2462.5,1.0
1073,2022-02-01,2670.0,2.0
1074,2022-02-02,2939.0,3.0
1075,2022-02-03,2923.0,4.0
1076,2022-02-04,2805.0,5.0
1077,2022-02-05,1859.0,6.0
1078,2022-02-06,1387.0,7.0
1079,2022-02-07,2751.5,1.0
1080,2022-02-08,2599.5,2.0
1081,2022-02-09,3011.0,3.0
1082,2022-02-10,2868.0,4.0
1083,2022-02-11,2868.5,5.0
1084,2022-02-12,2047.5,6.0
1085,2022-02-13,1614.0,7.0
1086,2022-02-14,2899.0,1.0
1087,2022-02-15,2892.5,2.0
1088,2022-02-16,2686.5,3.0
1089,2022-02-17,2660.5,4.0
1090,2022-02-18,2361.5,5.0
1091,2022-02-19,1744.5,6.0
1092,2022-02-20,1200.5,7.0
1093,2022-02-21,2582.0,1.0
1094,2022-02-22,2844.5,2.0
1095,2022-02-23,2803.0,3.0
1096,2022-02-24,2822.0,4.0
1097,2022-02-25,2841.5,5.0
1098,2022-02-26,1981.0,6.0
1099,2022-02-27,1708.5,7.0
1100,2022-02-28,2849.0,1.0
1101,2022-03-01,3024.5,2.0
1102,2022-03-02,2624.5,3.0
1103,2022-03-03,3129.5,4.0
1104,2022-03-04,2996.0,5.0
1105,2022-03-05,2171.5,6.0
1106,2022-03-06,2061.5,7.0
1107,2022-03-07,2804.0,1.0
1108,2022-03-08,2871.0,2.0
1109,2022-03-09,2446.0,3.0
1110,2022-03-10,2970.5,4.0
1111,2022-03-11,2567.5,5.0
1112,2022-03-12,1835.0,6.0
1113,2022-03-13,1713.5,7.0
1114,2022-03-14,2726.5,1.0
1115,2022-03-15,3074.5,2.0
1116,2022-03-16,3132.5,3.0
1117,2022-03-17,1782.0,4.0
1118,2022-03-18,2163.5,5.0
1119,2022-03-19,2038.0,6.0
1120,2022-03-20,2058.5,7.0
1121,2022-03-21,2899.5,1.0
1122,2022-03-22,3116.5,2.0
1123,2022-03-23,3174.0,3.0
1124,2022-03-24,3265.5,4.0
1125,2022-03-25,3160.5,5.0
1126,2022-03-26,2607.0,6.0
1127,2022-03-27,2359.0,7.0
1128,2022-03-28,3106.0,1.0
1129,2022-03-29,3328.5,2.0
1130,2022-03-30,3128.0,3.0
1131,2022-03-31,3262.0,4.0
1132,2022-04-01,2883.0,5.0
1133,2022-04-02,2185.0,6.0
1134,2022-04-03,1955.5,7.0
1135,2022-04-04,3042.5,1.0
1136,2022-04-05,3176.5,2.0
1137,2022-04-06,2723.5,3.0
1138,2022-04-07,3281.5,4.0
1139,2022-04-08,2992.0,5.0
1140,2022-04-09,2344.0,6.0
1141,2022-04-10,2039.5,7.0
1142,2022-04-11,3090.0,1.0
1143,2022-04-12,2870.0,2.0
1144,2022-04-13,3331.0,3.0
1145,2022-04-14,3227.5,4.0
1146,2022-04-15,2857.0,5.0
1147,2022-04-16,2453.5,6.0
1148,2022-04-17,1676.5,7.0
1149,2022-04-18,1616.5,1.0
1150,2022-04-19,2963.5,2.0
1151,2022-04-20,3314.5,3.0
1152,2022-04-21,3286.0,4.0
1153,2022-04-22,3140.5,5.0
1154,2022-04-23,2365.0,6.0
1155,2022-04-24,2265.0,7.0
1156,2022-04-25,3112.0,1.0
1157,2022-04-26,3333.5,2.0
1158,2022-04-27,2855.5,3.0
1159,2022-04-28,3390.5,4.0
1160,2022-04-29,3192.5,5.0
1161,2022-04-30,1855.0,6.0
1162,2022-05-01,1622.0,7.0
1163,2022-05-02,1834.5,1.0
1164,2022-05-03,3317.0,2.0
1165,2022-05-04,3522.5,3.0
1166,2022-05-05,3510.5,4.0
1167,2022-05-06,2932.5,5.0
1168,2022-05-07,2531.5,6.0
1169,2022-05-08,2469.0,7.0
1170,2022-05-09,3225.5,1.0
1171,2022-05-10,3606.5,2.0
1172,2022-05-11,3582.0,3.0
1173,2022-05-12,3645.0,4.0
1174,2022-05-13,3329.5,5.0
1175,2022-05-14,2823.0,6.0
1176,2022-05-15,2255.5,7.0
1177,2022-05-16,3355.5,1.0
1178,2022-05-17,3200.5,2.0
1179,2022-05-18,3437.0,3.0
1180,2022-05-19,3623.5,4.0
1181,2022-05-20,3302.0,5.0
1182,2022-05-21,2532.5,6.0
1183,2022-05-22,2133.5,7.0
1184,2022-05-23,3314.0,1.0
1185,2022-05-24,3733.0,2.0
1186,2022-05-25,3541.0,3.0
1187,2022-05-26,3752.5,4.0
1188,2022-05-27,3518.0,5.0
1189,2022-05-28,2835.0,6.0
1190,2022-05-29,2438.0,7.0
1191,2022-05-30,3142.5,1.0
1192,2022-05-31,3381.5,2.0
1193,2022-06-01,3550.5,3.0
1194,2022-06-02,3405.0,4.0
1195,2022-06-03,3290.5,5.0
1196,2022-06-04,2289.5,6.0
1197,2022-06-05,1333.5,7.0
1198,2022-06-06,1930.0,1.0
1199,2022-06-07,2798.0,2.0
1200,2022-06-08,3553.5,3.0
1201,2022-06-09,3179.0,4.0
1202,2022-06-10,3026.0,5.0
1203,2022-06-11,2302.0,6.0
1204,2022-06-12,2109.5,7.0
1205,2022-06-13,3317.0,1.0
1206,2022-06-14,3564.0,2.0
1207,2022-06-15,3720.5,3.0
1208,2022-06-16,3648.5,4.0
1209,2022-06-17,3425.0,5.0
1210,2022-06-18,2449.0,6.0
1211,2022-06-19,2090.5,7.0
1212,2022-06-20,3482.0,1.0
1213,2022-06-21,3730.5,2.0
1214,2022-06-22,3587.5,3.0
1215,2022-06-23,3696.0,4.0
1216,2022-06-24,3282.5,5.0
1217,2022-06-25,2706.0,6.0
1218,2022-06-26,1872.5,7.0
1219,2022-06-27,3370.5,1.0
1220,2022-06-28,3072.0,2.0
1221,2022-06-29,3634.0,3.0
1222,2022-06-30,3379.0,4.0
1223,2022-07-01,3156.0,5.0
1224,2022-07-02,2555.0,6.0
1225,2022-07-03,1991.0,7.0
1226,2022-07-04,3348.0,1.0
1227,2022-07-05,3567.5,2.0
1228,2022-07-06,3551.5,3.0
1229,2022-07-07,3664.5,4.0
1230,2022-07-08,3416.0,5.0
1231,2022-07-09,2649.0,6.0
1232,2022-07-10,2345.5,7.0
1233,2022-07-11,3353.5,1.0
1234,2022-07-12,3461.0,2.0
1235,2022-07-13,3797.0,3.0
1236,2022-07-14,3640.0,4.0
1237,2022-07-15,3431.0,5.0
1238,2022-07-16,2657.0,6.0
1239,2022-07-17,2475.5,7.0
1240,2022-07-18,3394.5,1.0
1241,2022-07-19,3573.5,2.0
1242,2022-07-20,3620.0,3.0
1243,2022-07-21,3733.5,4.0
1244,2022-07-22,3505.0,5.0
1245,2022-07-23,2408.0,6.0
1246,2022-07-24,2216.0,7.0
1247,2022-07-25,3378.0,1.0
1248,2022-07-26,3754.0,2.0
1249,2022-07-27,3525.5,3.0
1250,2022-07-28,3642.0,4.0
1251,2022-07-29,3115.0,5.0
1252,2022-07-30,1872.0,6.0
1253,2022-07-31,2260.0,7.0
1254,2022-08-01,1793.0,1.0
1255,2022-08-02,3386.5,2.0
1256,2022-08-03,3574.0,3.0
1257,2022-08-04,3686.0,4.0
1258,2022-08-05,3275.5,5.0
1259,2022-08-06,2497.0,6.0
1260,2022-08-07,2220.0,7.0
1261,2022-08-08,3488.5,1.0
1262,2022-08-09,3704.0,2.0
1263,2022-08-10,3790.5,3.0
1264,2022-08-11,3808.0,4.0
1265,2022-08-12,3529.5,5.0
1266,2022-08-13,2811.0,6.0
1267,2022-08-14,2607.0,7.0
1268,2022-08-15,3062.5,1.0
1269,2022-08-16,3706.0,2.0
1270,2022-08-17,3570.5,3.0
1271,2022-08-18,3623.0,4.0
1272,2022-08-19,3437.5,5.0
1273,2022-08-20,2380.0,6.0
1274,2022-08-21,2071.5,7.0
1275,2022-08-22,3331.5,1.0
1276,2022-08-23,3744.0,2.0
1277,2022-08-24,3698.5,3.0
1278,2022-08-25,3758.0,4.0
1279,2022-08-26,3365.0,5.0
1280,2022-08-27,2746.5,6.0
1281,2022-08-28,2142.5,7.0
1282,2022-08-29,3490.5,1.0
1283,2022-08-30,3822.5,2.0
1284,2022-08-31,3741.5,3.0
1285,2022-09-01,1375.0,4.0
1286,2022-09-02,206.0,5.0
1287,2022-09-03,1526.0,6.0
1288,2022-09-04,2124.5,7.0
1289,2022-09-05,3220.5,1.0
1290,2022-09-06,3405.5,2.0
1291,2022-09-07,3564.0,3.0
1292,2022-09-08,3719.0,4.0
1293,2022-09-09,3260.0,5.0
1294,2022-09-10,2573.0,6.0
1295,2022-09-11,1729.5,7.0
1296,2022-09-12,3273.5,1.0
1297,2022-09-13,3760.0,2.0
1298,2022-09-14,3674.5,3.0
1299,2022-09-15,3729.5,4.0
1300,2022-09-16,3345.5,5.0
1301,2022-09-17,2466.5,6.0
1302,2022-09-18,2094.5,7.0
1303,2022-09-19,3411.5,1.0
1304,2022-09-20,3778.0,2.0
1305,2022-09-21,3751.5,3.0
1306,2022-09-22,2958.5,4.0
1307,2022-09-23,3469.5,5.0
1308,2022-09-24,2506.0,6.0
1309,2022-09-25,1912.5,7.0
1310,2022-09-26,3409.0,1.0
1311,2022-09-27,3651.5,2.0
1312,2022-09-28,3617.5,3.0
1313,2022-09-29,3880.5,4.0
1314,2022-09-30,3082.5,5.0
1315,2022-10-01,2551.5,6.0
1316,2022-10-02,2161.0,7.0
1317,2022-10-03,3448.0,1.0
1318,2022-10-04,3514.5,2.0
1319,2022-10-05,3605.5,3.0
1320,2022-10-06,3675.0,4.0
1321,2022-10-07,3365.5,5.0
1322,2022-10-08,2670.5,6.0
1323,2022-10-09,1495.0,7.0
1324,2022-10-10,3432.0,1.0
1325,2022-10-11,3695.0,2.0
1326,2022-10-12,3784.0,3.0
1327,2022-10-13,3736.5,4.0
1328,2022-10-14,3315.0,5.0
1329,2022-10-15,2243.5,6.0
1330,2022-10-16,1678.5,7.0
1331,2022-10-17,3400.5,1.0
1332,2022-10-18,3700.5,2.0
1333,2022-10-19,2878.0,3.0
1334,2022-10-20,3676.5,4.0
1335,2022-10-21,2952.0,5.0
1336,2022-10-22,2640.0,6.0
1337,2022-10-23,1881.0,7.0
1338,2022-10-24,3479.5,1.0
1339,2022-10-25,3528.0,2.0
1340,2022-10-26,3617.0,3.0
1341,2022-10-27,3759.5,4.0
1342,2022-10-28,3326.0,5.0
1343,2022-10-29,2022.5,6.0
1344,2022-10-30,2244.5,7.0
1345,2022-10-31,1548.0,1.0
1346,2022-11-01,3188.5,2.0
1347,2022-11-02,3001.5,3.0
1348,2022-11-03,3332.5,4.0
1349,2022-11-04,3196.0,5.0
1350,2022-11-05,2318.5,6.0
1351,2022-11-06,1893.0,7.0
1352,2022-11-07,3029.5,1.0
1353,2022-11-08,3643.5,2.0
1354,2022-11-09,3578.5,3.0
1355,2022-11-10,3655.0,4.0
1356,2022-11-11,3453.0,5.0
1357,2022-11-12,2516.0,6.0
1358,2022-11-13,2052.5,7.0
1359,2022-11-14,3196.0,1.0
1360,2022-11-15,3621.0,2.0
1361,2022-11-16,3605.0,3.0
1362,2022-11-17,3570.0,4.0
1363,2022-11-18,3221.0,5.0
1364,2022-11-19,2088.5,6.0
1365,2022-11-20,1678.5,7.0
1366,2022-11-21,2682.5,1.0
1367,2022-11-22,3180.0,2.0
1368,2022-11-23,1654.5,3.0
1369,2022-11-24,3198.5,4.0
1370,2022-11-25,3318.0,5.0
1371,2022-11-26,2174.5,6.0
1372,2022-11-27,1736.5,7.0
1373,2022-11-28,3092.5,1.0
1374,2022-11-29,3508.0,2.0
1375,2022-11-30,3554.5,3.0
1376,2022-12-01,3598.0,4.0
1377,2022-12-02,3384.5,5.0
1378,2022-12-03,2156.5,6.0
1379,2022-12-04,1411.5,7.0
1380,2022-12-05,2765.5,1.0
1381,2022-12-06,3212.5,2.0
1382,2022-12-07,3410.5,3.0
1383,2022-12-08,3278.0,4.0
1384,2022-12-09,2409.5,5.0
1385,2022-12-10,1618.0,6.0
1386,2022-12-11,1424.0,7.0
1387,2022-12-12,2648.5,1.0
1388,2022-12-13,3184.0,2.0
1389,2022-12-14,3140.5,3.0
1390,2022-12-15,3059.0,4.0
1391,2022-12-16,2613.5,5.0
1392,2022-12-17,1751.0,6.0
1393,2022-12-18,1516.5,7.0
1394,2022-12-19,2686.0,1.0
1395,2022-12-20,2951.0,2.0
1396,2022-12-21,2646.5,3.0
1397,2022-12-22,2381.0,4.0
1398,2022-12-23,1820.0,5.0
1399,2022-12-24,1141.0,6.0
1400,2022-12-25,790.5,7.0
1401,2022-12-26,782.0,1.0
1402,2022-12-27,1313.0,2.0
1403,2022-12-28,1504.0,3.0
1404,2022-12-29,1444.0,4.0
1405,2022-12-30,1614.5,5.0
1406,2022-12-31,1598.0,6.0
